frame,scenario_id,environment,snr_db,speed_kmph,ai_waveform,oracle_waveform,decision_correct,ACS,oracle_ACS,ACS_regret,BER,oracle_BER,BER_regret,relative_BER_regret
53,B,HighSpeedRail,6.51,297.2,OTFS,OTFS,1.0,0.151872961196949,0.151872961196949,0.0,0.0729166666666667,0.0473958333333333,0.0255208333333333,0.538461538461539
54,B,HighSpeedRail,7.1,318.9,OTFS,OTFS,1.0,0.14405812106508,0.14405812106508,0.0,0.09375,0.0588541666666667,0.0348958333333333,0.592920353982301
55,B,HighSpeedRail,7.96,340.6,OTFS,OTFS,1.0,0.184573458187711,0.184573458187711,0.0,0.04375,0.04375,0.0,0.0
56,B,HighSpeedRail,9.01,280.4,OTFS,OTFS,1.0,0.145680231640622,0.145680231640622,0.0,0.0963541666666667,0.0645833333333333,0.0317708333333333,0.491935483870968
57,B,HighSpeedRail,10.13,302.0,OTFS,OTFS,1.0,0.18874516398595,0.18874516398595,0.0,0.0213541666666667,0.0182291666666667,0.003125,0.171428571428571
58,B,HighSpeedRail,10.95,323.7,OTFS,OTFS,1.0,0.207370631566505,0.207370631566505,0.0,0.0333333333333333,0.0317708333333333,0.0015625,0.0491803278688525
59,B,HighSpeedRail,10.71,263.5,OTFS,OTFS,1.0,0.149902492835414,0.149902492835414,0.0,0.0989583333333333,0.053125,0.0458333333333333,0.862745098039216
60,B,HighSpeedRail,10.31,285.2,OTFS,OTFS,1.0,0.195015110022921,0.195015110022921,0.0,0.0317708333333333,0.0171875,0.0145833333333333,0.848484848484848
1,C,Pedestrian,17.48,2.2,OTFS,OTFS,1.0,0.975042940981484,0.975042940981484,0.0,0.0,0.0,0.0,
2,C,Pedestrian,17.81,3.1,OTFS,OTFS,1.0,0.988535143797917,0.988535143797917,0.0,0.0,0.0,0.0,
3,C,Pedestrian,18.49,3.6,OTFS,OTFS,1.0,0.989334883578221,0.989334883578221,0.0,0.0,0.0,0.0,
4,C,Pedestrian,19.48,3.5,OTFS,OTFS,1.0,0.987972658239618,0.987972658239618,0.0,0.0,0.0,0.0,
5,C,Pedestrian,20.69,2.8,OTFS,ODDM,0.0,0.344191017357868,0.353675638860044,0.0094846215021756,0.0015625,0.0005208333333333,0.0010416666666666,2.0
6,C,Pedestrian,21.98,1.8,OTFS,OTFS,1.0,0.981640716606262,0.981640716606262,0.0,0.0,0.0,0.0,
7,C,Pedestrian,22.99,0.9,OTFS,OTFS,1.0,0.978753181566853,0.978753181566853,0.0,0.0,0.0,0.0,
8,C,Pedestrian,22.95,0.4,OTFS,OTFS,1.0,0.980097312950302,0.980097312950302,0.0,0.0,0.0,0.0,
9,C,Pedestrian,22.71,0.6,OTFS,OTFS,1.0,0.983179909642657,0.983179909642657,0.0,0.0,0.0,0.0,
10,C,Pedestrian,22.31,1.2,OTFS,OTFS,1.0,0.980978070279418,0.980978070279418,0.0,0.0,0.0,0.0,
11,C,Pedestrian,21.76,2.1,OTFS,OTFS,1.0,0.979118841960891,0.979118841960891,0.0,0.0,0.0,0.0,
12,C,Pedestrian,21.1,2.9,OTFS,OTFS,1.0,0.981645067304412,0.981645067304412,0.0,0.0,0.0,0.0,
13,C,Pedestrian,20.38,3.2,OTFS,OTFS,1.0,0.981736041799983,0.981736041799983,0.0,0.0,0.0,0.0,
14,C,Pedestrian,19.62,2.9,OTFS,OTFS,1.0,0.981615012331088,0.981615012331088,0.0,0.0,0.0,0.0,
15,C,Pedestrian,18.9,2.1,OTFS,OTFS,1.0,0.981659351413402,0.981659351413402,0.0,0.0,0.0,0.0,
16,C,Pedestrian,17.46,1.1,OTFS,OTFS,1.0,0.980289692886645,0.980289692886645,0.0,0.0,0.0,0.0,
17,C,Pedestrian,15.92,0.3,OTFS,ODDM,0.0,0.361711955900676,0.960735905839332,0.599023949938655,0.0010416666666666,0.0,0.0010416666666666,
18,C,Pedestrian,14.76,0.0,OTFS,OTFS,1.0,0.988277253144707,0.988277253144707,0.0,0.0,0.0,0.0,
19,C,Pedestrian,14.11,0.3,OTFS,OTFS,1.0,0.981178619735588,0.981178619735588,0.0,0.0,0.0,0.0,
20,C,Pedestrian,14.05,1.1,OTFS,OTFS,1.0,0.981202840817719,0.981202840817719,0.0,0.0,0.0,0.0,
21,C,Pedestrian,14.57,2.0,OTFS,ODDM,0.0,0.344958921137069,0.352480357361136,0.0075214362240667,0.0015625,0.0005208333333333,0.0010416666666666,2.0
22,C,Pedestrian,15.62,2.7,OTFS,OTFS,1.0,0.980780113068289,0.980780113068289,0.0,0.0,0.0,0.0,
23,C,Pedestrian,17.08,2.8,OTFS,OTFS,1.0,0.980424020094133,0.980424020094133,0.0,0.0,0.0,0.0,
24,C,Pedestrian,18.55,2.3,OTFS,OTFS,1.0,0.989266899121893,0.989266899121893,0.0,0.0,0.0,0.0,
25,C,Pedestrian,19.25,1.4,OTFS,OTFS,1.0,0.989467743231179,0.989467743231179,0.0,0.0,0.0,0.0,
26,C,Pedestrian,20.0,0.4,OTFS,OTFS,1.0,0.981234285765884,0.981234285765884,0.0,0.0,0.0,0.0,
27,C,Pedestrian,20.75,0.0,OTFS,OTFS,1.0,0.98381802210185,0.98381802210185,0.0,0.0,0.0,0.0,
28,C,Pedestrian,21.45,0.0,OTFS,OTFS,1.0,0.982219661558025,0.982219661558025,0.0,0.0,0.0,0.0,
29,C,Pedestrian,22.05,0.2,OTFS,OTFS,1.0,0.986748436946775,0.986748436946775,0.0,0.0,0.0,0.0,
30,C,Pedestrian,22.53,1.0,OTFS,OTFS,1.0,0.982679612495176,0.982679612495176,0.0,0.0,0.0,0.0,
31,C,Urban,17.85,42.8,OTFS,OTFS,1.0,0.353422256467895,0.353422256467895,0.0,0.0010416666666666,0.0010416666666666,0.0,0.0
32,C,Urban,17.99,44.9,OTFS,OTFS,1.0,0.376836940219036,0.376836940219036,0.0,0.0005208333333333,0.0005208333333333,0.0,0.0
33,C,Urban,17.17,46.7,OTFS,OTFS,1.0,0.34341790973481,0.34341790973481,0.0,0.0020833333333333,0.0020833333333333,0.0,0.0
34,C,Urban,15.95,48.0,OTFS,OTFS,1.0,0.98176323368783,0.98176323368783,0.0,0.0,0.0,0.0,
35,C,Urban,14.79,48.7,OTFS,OTFS,1.0,0.136942106274552,0.136942106274552,0.0,0.377604166666667,0.3703125,0.0072916666666667,0.0196905766526021
36,C,Urban,13.82,48.5,OTFS,OTFS,1.0,0.347772221559325,0.347772221559325,0.0,0.003125,0.003125,0.0,0.0
37,C,Urban,13.15,47.6,OTFS,OTFS,1.0,0.193295994042449,0.193295994042449,0.0,0.11328125,0.11328125,0.0,0.0
38,C,Urban,12.8,45.9,OTFS,OTFS,1.0,0.206278444098267,0.206278444098267,0.0,0.0869791666666667,0.0869791666666667,0.0,0.0
39,C,Urban,12.78,43.6,OTFS,OTFS,1.0,0.241698513679028,0.241698513679028,0.0,0.0255208333333333,0.0255208333333333,0.0,0.0
40,C,Urban,13.03,40.9,OTFS,OTFS,1.0,0.159475759577803,0.159475759577803,0.0,0.16953125,0.16953125,0.0,0.0
41,C,Urban,13.24,38.0,OTFS,OTFS,1.0,0.189206803752458,0.189206803752458,0.0,0.125520833333333,0.125520833333333,0.0,0.0
42,C,Urban,12.69,35.4,OTFS,OTFS,1.0,0.343455500161373,0.343455500161373,0.0,0.0020833333333333,0.0020833333333333,0.0,0.0
43,C,Urban,12.29,33.1,OTFS,OTFS,1.0,0.251948735903731,0.251948735903731,0.0,0.0247395833333333,0.0247395833333333,0.0,0.0
44,C,Urban,12.05,31.3,OTFS,OTFS,1.0,0.307721578645605,0.307721578645605,0.0,0.0065104166666666,0.0065104166666666,0.0,0.0
45,C,Urban,12.01,30.4,OTFS,OTFS,1.0,0.204902036623453,0.204902036623453,0.0,0.0783854166666667,0.0783854166666667,0.0,0.0
46,C,Urban,12.15,30.2,OTFS,OTFS,1.0,0.167246194659466,0.167246194659466,0.0,0.163802083333333,0.163802083333333,0.0,0.0
47,C,Urban,12.47,30.9,OTFS,OTFS,1.0,0.212702001566786,0.212702001566786,0.0,0.0427083333333333,0.0427083333333333,0.0,0.0
48,C,Urban,12.95,32.2,OTFS,OTFS,1.0,0.30309312396981,0.30309312396981,0.0,0.00703125,0.00703125,0.0,0.0
49,C,Urban,13.55,34.0,OTFS,OTFS,1.0,0.180007003289242,0.180007003289242,0.0,0.13515625,0.13515625,0.0,0.0
50,C,Urban,13.48,36.1,OTFS,OTFS,1.0,0.34681256853921,0.34681256853921,0.0,0.0020833333333333,0.0020833333333333,0.0,0.0
51,C,Pedestrian,18.23,9.0,OTFS,OTFS,1.0,0.345255215411359,0.345255215411359,0.0,0.0015625,0.0015625,0.0,0.0
52,C,Pedestrian,18.22,9.9,OTFS,ODDM,0.0,0.332145230316438,0.344750478777409,0.0126052484609714,0.0020833333333333,0.0010416666666666,0.0010416666666666,1.0
53,C,Pedestrian,18.51,6.9,OTFS,OTFS,1.0,0.988411482530145,0.988411482530145,0.0,0.0,0.0,0.0,
