speed_kmph_rounded,doppler_hz,strategy,waveform,BER,throughput_bps,CQI,ACS
10.0,46.6989733277413,fixed_oddm,ODDM,0.0,867458.617332035,15.0,0.956049975660434
10.0,46.6989733277413,fixed_otfs,OTFS,0.0,870000.0,15.0,0.976517729473822
10.0,46.6989733277413,oracle,OTFS,0.0,870000.0,15.0,0.976517729473822
10.0,48.1814804175109,ai_adaptive,OTFS,0.0016163793103448,0.0,14.0,0.339347770816023
10.0,48.1814804175109,fixed_oddm,ODDM,0.0086206896551724,0.0,11.0,0.258474794161658
10.0,48.1814804175109,fixed_otfs,OTFS,0.0016163793103448,0.0,14.0,0.339347770816023
10.0,48.1814804175109,oracle,OTFS,0.0016163793103448,0.0,14.0,0.339347770816023
10.0,49.6639875072804,ai_adaptive,OTFS,0.0,870000.0,15.0,0.979053974872364
10.0,49.6639875072804,fixed_oddm,ODDM,0.0016163793103448,0.0,14.0,0.322749494077932
10.0,49.6639875072804,fixed_otfs,OTFS,0.0,870000.0,15.0,0.979053974872364
10.0,49.6639875072804,oracle,OTFS,0.0,870000.0,15.0,0.979053974872364
10.0,50.7758678246076,ai_adaptive,OTFS,0.0856770833333333,0.0,8.0,0.206326772815646
10.0,50.7758678246076,fixed_oddm,ODDM,0.288802083333333,0.0,5.0,0.141285131284443
10.0,50.7758678246076,fixed_otfs,OTFS,0.0856770833333333,0.0,8.0,0.206326772815646
10.0,50.7758678246076,oracle,OTFS,0.0856770833333333,0.0,8.0,0.206326772815646
10.0,51.5171213694924,ai_adaptive,OTFS,0.09765625,0.0,7.0,0.17862198701769
10.0,51.5171213694924,fixed_oddm,ODDM,0.272135416666667,0.0,5.0,0.138070166268106
10.0,51.5171213694924,fixed_otfs,OTFS,0.09765625,0.0,7.0,0.17862198701769
10.0,51.5171213694924,oracle,OTFS,0.09765625,0.0,7.0,0.17862198701769
10.0,52.6290016868195,ai_adaptive,OTFS,0.0088541666666666,0.0,11.0,0.291564988803418
10.0,52.6290016868195,fixed_oddm,ODDM,0.0145833333333333,0.0,10.0,0.24728028393444
10.0,52.6290016868195,fixed_otfs,OTFS,0.0088541666666666,0.0,11.0,0.291564988803418
10.0,52.6290016868195,oracle,OTFS,0.0088541666666666,0.0,11.0,0.291564988803418
10.0,54.1115087765891,ai_adaptive,ODDM,0.0,898245.614035088,15.0,0.963688557524718
10.0,54.1115087765891,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.963688557524718
10.0,54.1115087765891,fixed_otfs,OTFS,0.0,900000.0,15.0,0.98813835297034
10.0,54.1115087765891,oracle,OTFS,0.0,900000.0,15.0,0.98813835297034
10.0,54.8527623214739,ai_adaptive,OTFS,0.0,870000.0,15.0,0.976425315701181
10.0,54.8527623214739,fixed_oddm,ODDM,0.0,867458.617332035,15.0,0.955971260905436
10.0,54.8527623214739,fixed_otfs,OTFS,0.0,870000.0,15.0,0.976425315701181
10.0,54.8527623214739,oracle,OTFS,0.0,870000.0,15.0,0.976425315701181
10.0,55.2233890939163,ai_adaptive,OTFS,0.0182291666666667,0.0,9.0,0.24432565210682
10.0,55.2233890939163,fixed_oddm,ODDM,0.0234375,0.0,8.0,0.210162934067888
10.0,55.2233890939163,fixed_otfs,OTFS,0.0182291666666667,0.0,9.0,0.24432565210682
10.0,55.2233890939163,oracle,OTFS,0.0182291666666667,0.0,9.0,0.24432565210682
20.0,55.5940158663587,ai_adaptive,ODDM,0.00234374999999995,0.0,13.0,0.255665975890645
20.0,55.5940158663587,ai_adaptive,OTFS,0.061848958333333245,225000.0,8.75,0.3613845487270855
20.0,55.5940158663587,fixed_oddm,ODDM,0.04149305555555553,149707.60233918132,10.166666666666666,0.3054792054563087
20.0,55.5940158663587,fixed_otfs,OTFS,0.041666666666666595,300000.0,10.5,0.44849790706761966
20.0,55.5940158663587,oracle,OTFS,0.041666666666666595,300000.0,10.5,0.44849790706761966
20.0,59.3002835907826,ai_adaptive,ODDM,0.05217013888888881,0.0,9.333333333333334,0.23417177347897167
20.0,59.3002835907826,fixed_oddm,ODDM,0.05217013888888881,0.0,9.333333333333334,0.23417177347897167
20.0,59.3002835907826,fixed_otfs,OTFS,0.0519965277777778,0.0,9.833333333333334,0.2652362152616545
20.0,59.3002835907826,oracle,OTFS,0.0519965277777778,0.0,9.833333333333334,0.2652362152616545
20.0,60.0415371356674,ai_adaptive,OTFS,0.10703125,0.0,7.0,0.181125225172688
20.0,60.0415371356674,fixed_oddm,ODDM,0.280208333333333,0.0,5.0,0.141597970497904
20.0,60.0415371356674,fixed_otfs,OTFS,0.10703125,0.0,7.0,0.181125225172688
20.0,60.0415371356674,oracle,OTFS,0.10703125,0.0,7.0,0.181125225172688
20.0,65.6009387223032,ai_adaptive,OTFS,0.0,900000.0,15.0,0.979256738524408
20.0,65.6009387223032,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.958947041245491
20.0,65.6009387223032,fixed_otfs,OTFS,0.0,900000.0,15.0,0.979256738524408
20.0,65.6009387223032,oracle,OTFS,0.0,900000.0,15.0,0.979256738524408
20.0,65.9715654947456,ai_adaptive,OTFS,0.0,900000.0,15.0,0.989459081167381
20.0,65.9715654947456,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.960834447299891
20.0,65.9715654947456,fixed_otfs,OTFS,0.0,900000.0,15.0,0.989459081167381
20.0,65.9715654947456,oracle,OTFS,0.0,900000.0,15.0,0.989459081167381
20.0,66.342192267188,ai_adaptive,OTFS,0.0,900000.0,15.0,0.977244410207071
20.0,66.342192267188,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.956271310687877
20.0,66.342192267188,fixed_otfs,OTFS,0.0,900000.0,15.0,0.977244410207071
20.0,66.342192267188,oracle,OTFS,0.0,900000.0,15.0,0.977244410207071
20.0,70.4190867640543,ai_adaptive,ODDM,0.023090277777777765,149707.60233918132,9.5,0.2880271782651675
20.0,70.4190867640543,fixed_oddm,ODDM,0.023090277777777765,149707.60233918132,9.5,0.2880271782651675
20.0,70.4190867640543,fixed_otfs,OTFS,0.018749999999999985,150000.0,9.666666666666666,0.33186971538767845
20.0,70.4190867640543,oracle,OTFS,0.018749999999999985,150000.0,9.666666666666666,0.33186971538767845
20.0,72.2722206262663,ai_adaptive,OTFS,0.0010416666666666,0.0,15.0,0.360417997474535
20.0,72.2722206262663,fixed_oddm,ODDM,0.0174479166666667,0.0,11.0,0.241213675472235
20.0,72.2722206262663,fixed_otfs,OTFS,0.0010416666666666,0.0,15.0,0.360417997474535
